ID	Dashi_REF	Dashi_SEQ	Ega_REF	Ega_SEQ	Enqi_REF	Enqi_SEQ	Eryuan_REF	Eryuan_SEQ	Gongxing_REF	Gongxing_SEQ	Heqing_REF	Heqing_SEQ	Jianchuan_REF	Jianchuan_SEQ	Jinman_REF	Jinman_SEQ	Jinxing_REF	Jinxing_SEQ	Lanping_REF	Lanping_SEQ	Luobenzhuo_REF	Luobenzhuo_SEQ	Mazhelong_REF	Mazhelong_SEQ	Qiliqiao_REF	Qiliqiao_SEQ	Tuoluo_REF	Tuoluo_SEQ	Xiangyun_REF	Xiangyun_SEQ	Yunlong_REF	Yunlong_SEQ	Zhoucheng_REF	Zhoucheng_SEQ
glutinous_rice	- - - s - õ ³³ - -	s õ ³³	- - - s - y ²² - -	s y ²²	- - - s - u ²² - -	s u ²²	x ɛ ⁵⁵ z - ɿ ³¹ - -	x ɛ ⁵⁵ z ɿ ³¹	- - - s w a ²² - -	s w a ²²	xʰ ɛ ⁵⁵ z - ɿ ³¹ - -	xʰ ɛ ⁵⁵ z ɿ ³¹	x ɛ ⁵⁵ s - ɿ ³¹ - -	x ɛ ⁵⁵ s ɿ ³¹	- - - s - y ²² - -	s y ²²	- - - s - ɤ ³³ - -	s ɤ ³³	x ɛ ⁵⁵ ʐ - ɯ ³³ - -	x ɛ ⁵⁵ ʐ ɯ ³³			s ɯ ³³ s - ɯ ³³ m ɛ	s ɯ ³³ s ɯ ³³ m ɛ	x ɛ ⁵⁵ s - ɿ ³¹ - -	x ɛ ⁵⁵ s ɿ ³¹	- - - s - ɤ ³³ - -	s ɤ ³³	x ɛ ⁵⁵ - - - - - -	x ɛ ⁵⁵	x ɛ ⁵⁵ z - ɿ ³¹ - -	x ɛ ⁵⁵ z ɿ ³¹	- - - s - i ⁵⁵ - -	s i ⁵⁵
good	x u ³³	x u ³³	x o ⁵⁵	x o ⁵⁵							x u ³³	x u ³³			x o ²²	x o ²²	x u ³³	x u ³³	ɕ o ⁴²	ɕ o ⁴²	x ɯ̃ ³³	x ɯ̃ ³³	x ǝ ³³	x ǝ ³³	x u ³³	x u ³³			x u ³³	x u ³³	x u ³³	x u ³³	x u ³³	x u ³³
hair							t - ɯ - ²¹ m a ³⁵	t ɯ ²¹ m a ³⁵					t - ɯ - ²¹ m a ⁵⁵	t ɯ ²¹ m a ⁵⁵					t j ɯ - ³³ m a ⁵⁵	t j ɯ ³³ m a ⁵⁵	t - e - ³¹ m e ⁵⁵	t e ³¹ m e ⁵⁵			t - ɯ - ²¹ m a ³⁵	t ɯ ²¹ m a ³⁵			t - o w ²¹ m a ³⁵	t o w ²¹ m a ³⁵	d - ɯ - ²¹ m a ³⁵	d ɯ ²¹ m a ³⁵		
hand	ʂʰ - ɯ - ³³ - - - -	ʂʰ ɯ ³³	ɕ - i - ²² - - - -	ɕ i ²²	ɕ j ɯ - ²² - - - -	ɕ j ɯ ²²	ʂ - ɯ - ³³ - - - -	ʂ ɯ ³³	ʂ - i - ²² - - - -	ʂ i ²²	sʰ - ɯ - ³³ - - - -	sʰ ɯ ³³	s - ɯ - ³³ - - - -	s ɯ ³³	ɕ - i - ²² - - - -	ɕ i ²²	s - ɯ - ³³ - - - -	s ɯ ³³	s - ɯ - ³³ pʰ w a ³³	s ɯ ³³ pʰ w a ³³	ɕ - i - ³³ - - - -	ɕ i ³³	s - ǝ w ³³ - - - -	s ǝ w ³³	s - ɯ - ³³ - - - -	s ɯ ³³	ɕ j ɯ - ³³ - - - -	ɕ j ɯ ³³	s - o w ³³ - - - -	s o w ³³	ʃ - ɤ - ³³ - - - -	ʃ ɤ ³³	s - ɯ - ³³ - - - -	s ɯ ³³
head	t - i - ⁴² - - - -	t i ⁴²	ʨ - u - ²² - - - -	ʨ u ²²	t - i w ²¹ - - - -	t i w ²¹	t - ɯ - ²¹ p - ɔ ²¹	t ɯ ²¹ p ɔ ²¹	d - i - ²¹ - - - -	d i ²¹	t - ɯ - ²¹ p - ɔ ²¹	t ɯ ²¹ p ɔ ²¹	t - ɯ - ²¹ p - o ²¹	t ɯ ²¹ p o ²¹	ʈ - o - ²² - - - -	ʈ o ²²	t - ǝ - ³¹ - - - -	t ǝ ³¹	t j ɯ - ³³ p w a ³¹	t j ɯ ³³ p w a ³¹	ʈ - ʊ - ³³ p w a ³¹	ʈ ʊ ³³ p w a ³¹	t - a - ⁴² - - - -	t a ⁴²	t - ɯ - ²¹ p - ɔ ²¹	t ɯ ²¹ p ɔ ²¹	d j ɯ - ³⁵ - - - -	d j ɯ ³⁵	t - o w ²¹ p - o ²¹	t o w ²¹ p o ²¹	d - ɯ - ²¹ p w a ²¹	d ɯ ²¹ p w a ²¹	t - ɯ - ³¹ - - - -	t ɯ ³¹
heart	ɕ j e n ⁵⁵	ɕ j e n ⁵⁵	s - ɛ - ⁵⁵	s ɛ ⁵⁵	s - i - ²⁴	s i ²⁴	ɕ - i - ⁵⁵	ɕ i ⁵⁵	ɕ - i n ⁵⁵	ɕ i n ⁵⁵	ɕʰ - ĩ - ⁵⁵	ɕʰ ĩ ⁵⁵	ɕ - ĩ - ⁵⁵	ɕ ĩ ⁵⁵	s - ẽ - ⁵⁵	s ẽ ⁵⁵	ɕ j e n ⁵⁵	ɕ j e n ⁵⁵	ɕ - ĩ - ⁵⁵	ɕ ĩ ⁵⁵	s - ẽ - ⁵⁵	s ẽ ⁵⁵	ɕ - e n ⁵⁵	ɕ e n ⁵⁵	ɕ - i - ³⁵	ɕ i ³⁵	ɕ j e n ⁵⁵	ɕ j e n ⁵⁵	ɕ - ĩ - ⁵⁵	ɕ ĩ ⁵⁵	s - e - ⁵⁵	s e ⁵⁵	ɕ - i - ³⁵	ɕ i ³⁵
heavy	t͡ʂ - õ - ³³	t͡ʂ õ ³³	ʥ - o - ²²	ʥ o ²²	d͡ʐ - o - ²²	d͡ʐ o ²²	t͡ʂ - ɤ - ³³	t͡ʂ ɤ ³³	ʣ - o ŋ ²²	ʣ o ŋ ²²	ʦ w ɔ̃ - ³³	ʦ w ɔ̃ ³³	ʦ - ɤ̃ - ³³	ʦ ɤ̃ ³³	ʥ - õ - ²²	ʥ õ ²²	ʦ - ɤ̃ - ³³	ʦ ɤ̃ ³³	ʦ - õ - ³³	ʦ õ ³³	ʥ - ɔ̃ - ³³	ʥ ɔ̃ ³³	ʦ - õ - ²¹	ʦ õ ²¹	ʦ - ɤ - ³³	ʦ ɤ ³³	ʐ - ɤ ŋ ³³	ʐ ɤ ŋ ³³	j - ɛ̃ - ³³	j ɛ̃ ³³	ʣ - ɤ - ³³	ʣ ɤ ³³	ʦ - ɤ - ³³	ʦ ɤ ³³
hemp	s i ³³	s i ³³			s i ³³	s i ³³	s ɯ ³³	s ɯ ³³	s i ³³	s i ³³	s ɿ ³³	s ɿ ³³	s ɿ ³³	s ɿ ³³			s i ³³	s i ³³	s ɿ ⁴⁴	s ɿ ⁴⁴	s ɿ ³³	s ɿ ³³	s i ³³	s i ³³	s ɿ ³³	s ɿ ³³	s i ³³	s i ³³	s ɤ ³⁵	s ɤ ³⁵	s ɿ ³³	s ɿ ³³		
high_tall	k ã - ³⁵	k ã ³⁵	q o - ⁵⁵	q o ⁵⁵	q a - ²⁴	q a ²⁴	k a - ³⁵	k a ³⁵	q a ŋ ⁵⁵	q a ŋ ⁵⁵	k ã - ⁵⁵	k ã ⁵⁵	k ã - ⁵⁵	k ã ⁵⁵	q ã - ⁵⁵	q ã ⁵⁵	k ɑ̃ - ⁵⁵	k ɑ̃ ⁵⁵	k ã - ⁵⁵	k ã ⁵⁵	q ɔ̃ - ⁵⁵	q ɔ̃ ⁵⁵	k a ŋ ⁵⁵	k a ŋ ⁵⁵	k a - ³⁵	k a ³⁵	q ɔ ŋ ⁵⁵	q ɔ ŋ ⁵⁵	k ã - ³⁵	k ã ³⁵	k a - ³⁵	k a ³⁵	k a - ³⁵	k a ³⁵
hoe	t͡ʂ - o ²¹ - - -	t͡ʂ o ²¹	ʨ - u ²¹ - - -	ʨ u ²¹	ʨ - o ²¹ - - -	ʨ o ²¹	t͡ʂ - ɔ ²¹ ʂ e ⁴²	t͡ʂ ɔ ²¹ ʂ e ⁴²	ʣ w a ¹² - - -	ʣ w a ¹²	ʦ w ɔ ²¹ s ẽ ⁴²	ʦ w ɔ ²¹ s ẽ ⁴²	ʦ - ɤ ²¹ s ẽ ⁴²	ʦ ɤ ²¹ s ẽ ⁴²	ʨ - u ²¹ - - -	ʨ u ²¹	ʦ - ɤ̃ ²¹ - - -	ʦ ɤ̃ ²¹	ʦ - u ²¹ s ẽ ⁴²	ʦ u ²¹ s ẽ ⁴²	ʨ - ʊ ²¹ - - -	ʨ ʊ ²¹	ʣ - u ²¹ - - -	ʣ u ²¹	ʦ - ɤ ²¹ - - -	ʦ ɤ ²¹			ʨ - ɛ̃ ²¹ - - -	ʨ ɛ̃ ²¹	ʦ - ɯ ²¹ s e ⁴²	ʦ ɯ ²¹ s e ⁴²	ʦ - ɤ ²¹ - - -	ʦ ɤ ²¹
horn	k - o - ⁴⁴	k o ⁴⁴	q - o - ⁴⁴	q o ⁴⁴	q - o - ⁵⁵	q o ⁵⁵	k - ɤ - ⁴⁴	k ɤ ⁴⁴	q w a - ²⁴	q w a ²⁴	k w ɔ - ⁴⁴	k w ɔ ⁴⁴	k - ɤ - ⁴⁴	k ɤ ⁴⁴	q - o - ⁵⁵	q o ⁵⁵	k - ɤ - ⁴⁴	k ɤ ⁴⁴	k - o - ⁵⁵	k o ⁵⁵	q - õ - ⁵⁵	q õ ⁵⁵	k - o ŋ ⁴⁴	k o ŋ ⁴⁴	k - ɤ - ⁴⁴	k ɤ ⁴⁴	q - o - ⁴²	q o ⁴²	k - ɯ - ³³	k ɯ ³³	k - ɤ - ⁴⁴	k ɤ ⁴⁴	k - ɤ - ⁴⁴	k ɤ ⁴⁴
horse	m ɚ - ³³	m ɚ ³³	m a - ²²	m a ²²	m æ - ²²	m æ ²²	m ɛ - ³³	m ɛ ³³	m æ - ²²	m æ ²²	m ɛ - ³³	m ɛ ³³	m ɛ - ³³	m ɛ ³³	m o - ²²	m o ²²	m a n ³³	m a n ³³	m ɛ - ³³	m ɛ ³³	m ɔ̃ - ³³	m ɔ̃ ³³	m ɚ - ³³	m ɚ ³³	m ɛ - ³³	m ɛ ³³	m a - ³³	m a ³³	m ɛ - ³³	m ɛ ³³	m ɛ - ³³	m ɛ ³³	m ɛ - ³³	m ɛ ³³
hot	- - - j e n ⁴⁴	j e n ⁴⁴	- - ɲ - i - ⁴⁴	ɲ i ⁴⁴	- - ɲ - i - ⁵⁵	ɲ i ⁵⁵	- - - - ɯ - ³¹	ɯ ³¹	- - ɲ - i - ²⁴	ɲ i ²⁴	- - - w ẽ - ⁵⁵	w ẽ ⁵⁵	- - - w ẽ - ⁵⁵	w ẽ ⁵⁵	- - ɲ - i - ⁴⁴	ɲ i ⁴⁴	- - - j ẽ - ⁴⁴	j ẽ ⁴⁴	ɯ ⁴² - j ɛ̃ - ⁴⁴	ɯ ⁴² j ɛ̃ ⁴⁴	- - ɲ - i - ⁵⁵	ɲ i ⁵⁵	- - ɲ j ɛ - ⁴⁴	ɲ j ɛ ⁴⁴	ɯ ³¹ ɲ - i - ⁴⁴	ɯ ³¹ ɲ i ⁴⁴	- - - j e n ⁴²	j e n ⁴²	- - - w ẽ - ³⁵	w ẽ ³⁵	- - - w ɛ - ³³	w ɛ ³³	- - ɲ j e - ⁴⁴	ɲ j e ⁴⁴
house	x - o w ³¹ - - - -	x o w ³¹	x - o - ⁴² - - - -	x o ⁴²	x - o - ⁴³ - - - -	x o ⁴³	x - ɔ - ²¹ - - - -	x ɔ ²¹	h - a - ⁴² - - - -	h a ⁴²	xʰ - ɔ w ³¹ - - - -	xʰ ɔ w ³¹	x - o w ²¹ - - - -	x o w ²¹	x - o - ⁴² - - - -	x o ⁴²	x - o w ³¹ - - - -	x o w ³¹	x - o - ³¹ k j ɛ̃ ⁵⁵	x o ³¹ k j ɛ̃ ⁵⁵	x - ɔ - ⁴² - - - -	x ɔ ⁴²	x - o - ²¹ - - - -	x o ²¹	x - ɔ - ²¹ - - - -	x ɔ ²¹	h - ɔ - ²¹ - - - -	h ɔ ²¹	x - ɔ - ²¹ - - - -	x ɔ ²¹	x w a - ²¹ - - - -	x w a ²¹	h - o - ³¹ - - - -	h o ³¹
hundred	- - - p - ɚ ⁴⁴	p ɚ ⁴⁴	- - - p - a ⁴⁴	p a ⁴⁴	- - - p - æ ⁵⁵	p æ ⁵⁵	- a ³¹ p - ɛ ⁴⁴	a ³¹ p ɛ ⁴⁴	- - - p - æ ²⁴	p æ ²⁴	- a ³¹ p - ɛ ⁴⁴	a ³¹ p ɛ ⁴⁴	- a ³¹ p - ɛ ⁴⁴	a ³¹ p ɛ ⁴⁴	- - - p - a ⁵⁵	p a ⁵⁵	- - - p - a ⁴⁴	p a ⁴⁴	- a ³¹ p - æ ⁴⁴	a ³¹ p æ ⁴⁴	ʔ a ⁴⁴ p w a ⁵⁵	ʔ a ⁴⁴ p w a ⁵⁵	- - - p - ɚ ⁴⁴	p ɚ ⁴⁴	- a ³¹ p - ɛ ⁴⁴	a ³¹ p ɛ ⁴⁴	- - - p - a ⁴²	p a ⁴²	- a ³¹ p - ɛ ⁴⁴	a ³¹ p ɛ ⁴⁴	- a ³¹ p - ɛ ⁴⁴	a ³¹ p ɛ ⁴⁴	- - - p - ǝ ⁴⁴	p ǝ ⁴⁴
ill_sick	p ɚ̃ - ³¹	p ɚ̃ ³¹			b æ - ⁴³	b æ ⁴³	p ɛ - ³¹	p ɛ ³¹	b a n ⁴²	b a n ⁴²	p ɛ̃ - ³¹	p ɛ̃ ³¹	p ɛ̃ - ³¹	p ɛ̃ ³¹			p a n ³¹	p a n ³¹	s ɔ̃ - ⁴²	s ɔ̃ ⁴²	s õ - ³¹	s õ ³¹	p ɚ̃ - ²¹	p ɚ̃ ²¹	p ɛ - ³¹	p ɛ ³¹	b a ŋ ²¹	b a ŋ ²¹	p ɛ̃ - ³¹	p ɛ̃ ³¹	p ɛ - ³¹	p ɛ ³¹	p ɛ - ²¹	p ɛ ²¹
interest			- - - pʰ u - ²¹	pʰ u ²¹	- - - b ɯ - ²¹	b ɯ ²¹	- - - p ɯ - ²¹	p ɯ ²¹	- - - b u - ¹²	b u ¹²	- - - p ɯ - ²¹	p ɯ ²¹	- - - p ɯ - ²¹	p ɯ ²¹	- - - p ɯ - ²¹	p ɯ ²¹			- - - p ɯ - ²¹	p ɯ ²¹	b o ⁵⁵ p ɯ - ³¹	b o ⁵⁵ p ɯ ³¹	- - - p ǝ - ²¹	p ǝ ²¹	- - - p ɯ - ²¹	p ɯ ²¹	- - - b ɯ - ³⁵	b ɯ ³⁵	- - - p o w ²¹	p o w ²¹	l i ⁵⁵ ɕ ɛ - ⁴⁴	l i ⁵⁵ ɕ ɛ ⁴⁴	- - - p ɯ - ²¹	p ɯ ²¹
intestine_gut	t͡ʂ - o - ŋ ²¹	t͡ʂ o ŋ ²¹	ʣ - ɨ w - ²¹	ʣ ɨ w ²¹	t j o - - ²¹	t j o ²¹	t͡ʂ - ɔ - - ²¹	t͡ʂ ɔ ²¹			ʦ - ɔ̃ w - ²¹	ʦ ɔ̃ w ²¹	ʦ - õ - - ²¹	ʦ õ ²¹	ʈ - õ - - ²¹	ʈ õ ²¹	ʦ - õ - - ²¹	ʦ õ ²¹	ʦ - õ - - ²¹	ʦ õ ²¹	t - õ - - ²¹	t õ ²¹	ʦ - o - ŋ ²¹	ʦ o ŋ ²¹	ʦ - o - - ²¹	ʦ o ²¹	d - ɤ - - ³⁵	d ɤ ³⁵	ʦ - ɤ̃ - - ²¹	ʦ ɤ̃ ²¹	ʦ w a - - ²¹	ʦ w a ²¹	ʦ - o w - ²¹	ʦ o w ²¹
to_ask	p j ɚ ⁴⁴	p j ɚ ⁴⁴	ʨ ɥ a ⁴⁴	ʨ ɥ a ⁴⁴	p j æ ⁵⁵	p j æ ⁵⁵	p j ɛ ⁴⁴	p j ɛ ⁴⁴	ʨ w ɛ ²⁴	ʨ w ɛ ²⁴	p j ɛ ⁴⁴	p j ɛ ⁴⁴	p j ɛ ⁴⁴	p j ɛ ⁴⁴	ʨ w a ⁵⁵	ʨ w a ⁵⁵	p j a ⁴⁴	p j a ⁴⁴	p j ɛ ⁴⁴	p j ɛ ⁴⁴	ʧ w a ⁴⁴	ʧ w a ⁴⁴	p j ɚ ⁴⁴	p j ɚ ⁴⁴	p j ɛ ⁴⁴	p j ɛ ⁴⁴	t͡ʂ w a ⁴²	t͡ʂ w a ⁴²	p j ɛ ⁴⁴	p j ɛ ⁴⁴	p j ɛ ⁴⁴	p j ɛ ⁴⁴	p j ɛ ⁴⁴	p j ɛ ⁴⁴
to_bark	p j a ⁴²	p j a ⁴²	ʨ ɥ a ²¹	ʨ ɥ a ²¹	p j a ²¹	p j a ²¹	p j a ⁴²	p j a ⁴²	ʥ w a ²¹	ʥ w a ²¹	p j a ⁴²	p j a ⁴²	p j a ⁴²	p j a ⁴²	ʨ w a ⁵³	ʨ w a ⁵³	p j o ⁴²	p j o ⁴²	p j a ⁴²	p j a ⁴²	ʧ w a ⁴⁴	ʧ w a ⁴⁴	pʰ j a ⁴²	pʰ j a ⁴²	p j a ⁴²	p j a ⁴²			p j a ⁴²	p j a ⁴²	p j a ⁴²	p j a ⁴²	p j a ⁴²	p j a ⁴²
to_blow	pʰ u - ⁵⁵	pʰ u ⁵⁵	pʰ ɯ - ⁵⁵	pʰ ɯ ⁵⁵	pʰ ɯ - ²⁴	pʰ ɯ ²⁴	pʰ ɯ - ⁵⁵	pʰ ɯ ⁵⁵	p u - ⁵⁵	p u ⁵⁵	pʰ ɯ - ⁵⁵	pʰ ɯ ⁵⁵	pʰ ɯ - ⁵⁵	pʰ ɯ ⁵⁵	pʰ ɯ - ⁵⁵	pʰ ɯ ⁵⁵	pʰ ɯ - ⁵⁵	pʰ ɯ ⁵⁵	pʰ u - ⁵⁵	pʰ u ⁵⁵	pʰ ɯ - ⁴⁴	pʰ ɯ ⁴⁴	pʰ ǝ w ⁵⁵	pʰ ǝ w ⁵⁵	pʰ ɯ - ⁵⁵	pʰ ɯ ⁵⁵	pʰ ɯ - ⁵⁵	pʰ ɯ ⁵⁵	pʰ o w ⁵⁵	pʰ o w ⁵⁵	pʰ ɯ - ⁵⁵	pʰ ɯ ⁵⁵	pʰ ǝ w ⁵⁵	pʰ ǝ w ⁵⁵
to_boil			x w a ⁴⁴	x w a ⁴⁴	χ w a ⁵⁵	χ w a ⁵⁵	x w a ⁴⁴	x w a ⁴⁴	x w a ²⁴	x w a ²⁴	x w a ⁴⁴	x w a ⁴⁴	x w a ⁴⁴	x w a ⁴⁴	x w a ⁵⁵	x w a ⁵⁵	x w ɑ ⁴⁴	x w ɑ ⁴⁴	x w a ⁴⁴	x w a ⁴⁴	χ w a ⁴⁴	χ w a ⁴⁴	x w a ⁴⁴	x w a ⁴⁴	x w a ⁴⁴	x w a ⁴⁴	h w ɔ ⁴²	h w ɔ ⁴²	x w a ⁴⁴	x w a ⁴⁴	x w a ⁴⁴	x w a ⁴⁴	x w a ⁴⁴	x w a ⁴⁴
to_buy	m ɚ ⁴²	m ɚ ⁴²	m a ⁴²	m a ⁴²	m æ ⁴³	m æ ⁴³	m ɛ ⁴²	m ɛ ⁴²	m æ ⁴²	m æ ⁴²	m ɛ ⁴²	m ɛ ⁴²	m ɛ ⁴²	m ɛ ⁴²	m a ⁴²	m a ⁴²	m a ⁴²	m a ⁴²	m æ ⁴²	m æ ⁴²	m a ³¹	m a ³¹	m ɚ ²¹	m ɚ ²¹	m ɛ ³²	m ɛ ³²	m a ²¹	m a ²¹	m ɛ ⁴²	m ɛ ⁴²	m ɛ ⁴²	m ɛ ⁴²	m ɛ ⁴²	m ɛ ⁴²
to_chirp	m ɚ - ²¹	m ɚ ²¹			m æ - ²¹	m æ ²¹	m ɛ - ²¹	m ɛ ²¹	m æ - ¹²	m æ ¹²	m ɛ - ²¹	m ɛ ²¹	m ɛ - ²¹	m ɛ ²¹			m a n ²¹	m a n ²¹	m æ - ²¹	m æ ²¹	m ã - ³¹	m ã ³¹	m ɚ̃ - ²¹	m ɚ̃ ²¹	m ɛ - ²¹	m ɛ ²¹	m a - ³⁵	m a ³⁵	k ɯ - ³⁵	k ɯ ³⁵	m ɛ - ²¹	m ɛ ²¹		
to_close	m e ³⁵	m e ³⁵			m i ²⁴	m i ²⁴	m i ³⁵	m i ³⁵	m i ⁵⁵	m i ⁵⁵	m e ³⁵	m e ³⁵	m e ⁵⁵	m e ⁵⁵			m e ⁵⁵	m e ⁵⁵	m ĩ ⁵⁵	m ĩ ⁵⁵			m i ⁵⁵	m i ⁵⁵	m e ³⁵	m e ³⁵	m i ⁵⁵	m i ⁵⁵	m i ³⁵	m i ³⁵	m i ³⁵	m i ³⁵		
to_comb							s - ɤ ³¹	s ɤ ³¹			s w ɔ ³¹	s w ɔ ³¹	s - ɤ̃ ³¹	s ɤ̃ ³¹					s - u ³¹	s u ³¹	ɕ - u ³³	ɕ u ³³			s - ɤ ³¹	s ɤ ³¹			ɕ - ɛ ²¹	ɕ ɛ ²¹	ʃ - ɤ ³¹	ʃ ɤ ³¹		
to_cry			- - - qʰ - u - ⁴⁴	qʰ u ⁴⁴	- - - qʰ - u - ⁵⁵	qʰ u ⁵⁵	- - - kʰ - ɔ - ⁴⁴	kʰ ɔ ⁴⁴	- - - qʰ - u - ²²⁴	qʰ u ²²⁴	xʰ ɛ ⁵⁵ k w ɔ - ⁵⁵	xʰ ɛ ⁵⁵ k w ɔ ⁵⁵	- - - kʰ - o w ⁴⁴	kʰ o w ⁴⁴	- - - qʰ - o - ⁵⁵	qʰ o ⁵⁵	- - - kʰ - o w ⁴⁴	kʰ o w ⁴⁴	- - - kʰ - u - ³³	kʰ u ³³	- - - qʰ - o - ⁵⁵	qʰ o ⁵⁵	- - - kʰ - o - ⁴⁴	kʰ o ⁴⁴	- - - kʰ - o - ⁴⁴	kʰ o ⁴⁴	- - - qʰ - o - ⁴²	qʰ o ⁴²	- - - kʰ - ɔ w ⁴⁴	kʰ ɔ w ⁴⁴	- - - kʰ - u - ⁴⁴	kʰ u ⁴⁴	- - - kʰ - ɑ - ⁴⁴	kʰ ɑ ⁴⁴
to_cut	ʂʰ - ɚ ⁴⁴ - - -	ʂʰ ɚ ⁴⁴	ɕ - a ⁴⁴ - - -	ɕ a ⁴⁴	ɕ j æ ⁵⁵ - - -	ɕ j æ ⁵⁵	ʂ - ɛ ⁴⁴ - - -	ʂ ɛ ⁴⁴	s - æ ²⁴ - - -	s æ ²⁴	sʰ - ɛ ⁴⁴ - - -	sʰ ɛ ⁴⁴	s - ɛ ⁴⁴ - - -	s ɛ ⁴⁴	ɕ - a ⁵⁵ q a ²¹	ɕ a ⁵⁵ q a ²¹	s - a ⁴⁴ - - -	s a ⁴⁴	s - ɛ ⁴⁴ - - -	s ɛ ⁴⁴	ɕ - a ⁵⁵ - - -	ɕ a ⁵⁵	s - ɚ ⁴⁴ - - -	s ɚ ⁴⁴	s - ɛ ⁴⁴ - - -	s ɛ ⁴⁴	ɕ - a ⁴² - - -	ɕ a ⁴²	s - ɛ ⁴⁴ - - -	s ɛ ⁴⁴	s - ɛ ⁴⁴ - - -	s ɛ ⁴⁴	s - ɛ ⁴⁴ - - -	s ɛ ⁴⁴
to_cut_up	ʦʰ w ã - ³³	ʦʰ w ã ³³			ʨʰ ɥ ɛ - ²²	ʨʰ ɥ ɛ ²²	ʦʰ w a - ³³	ʦʰ w a ³³	ʦʰ w a ŋ ²²	ʦʰ w a ŋ ²²	ʦʰ w ã - ³³	ʦʰ w ã ³³	ʦʰ w ã - ³³	ʦʰ w ã ³³			ʦʰ w ɑ̃ - ³³	ʦʰ w ɑ̃ ³³	ʨʰ w ã - ⁴⁴	ʨʰ w ã ⁴⁴	ɕ - o - ⁴⁴	ɕ o ⁴⁴	ʦʰ w e n ³³	ʦʰ w e n ³³	ʧʰ w a - ³³	ʧʰ w a ³³	ʦʰ - o ŋ ³³	ʦʰ o ŋ ³³	ʦʰ w ã - ³³	ʦʰ w ã ³³	ʦʰ w a - ³³	ʦʰ w a ³³	ʦʰ w a - ³³	ʦʰ w a ³³
to_die	ɕ i ³³	ɕ i ³³	s i ²²	s i ²²	s i ²²	s i ²²	ɕ i ³³	ɕ i ³³	ɕ i ²²	ɕ i ²²	ɕ i ³³	ɕ i ³³	ɕ i ³³	ɕ i ³³	ɕ i ²²	ɕ i ²²	ɕ i ³³	ɕ i ³³	ɕ i ⁴⁴	ɕ i ⁴⁴	s i ⁴⁴	s i ⁴⁴	ɕ i ³³	ɕ i ³³	ɕ i ³³	ɕ i ³³	ɕ i ³³	ɕ i ³³	ɕ i ³³	ɕ i ³³	ɕ i ³³	ɕ i ³³	ɕ i ³³	ɕ i ³³
to_drink	- ǝ̃ - ³³	ǝ̃ ³³	- ɯ̃ - ²²	ɯ̃ ²²	- ɯ - ²²	ɯ ²²	- ɯ - ³³	ɯ ³³			- ɯ - ³³	ɯ ³³	- ɯ̃ - ³³	ɯ̃ ³³	- ɯ̃ - ²²	ɯ̃ ²²	- ǝ̃ - ³³	ǝ̃ ³³	- ɯ̃ - ⁴⁴	ɯ̃ ⁴⁴	- ɯ̃ - ³³	ɯ̃ ³³	- o ŋ ³³	o ŋ ³³	- ɯ - ³³	ɯ ³³	- ɯ̃ - ³³	ɯ̃ ³³	- ẽ - ³³	ẽ ³³	ʔ ɯ - ³³	ʔ ɯ ³³	- ɯ - ³³	ɯ ³³
to_eat	j ɯ - ⁴⁴	j ɯ ⁴⁴	j i - ⁴⁴	j i ⁴⁴	j ɯ - ⁵⁵	j ɯ ⁵⁵	j ɯ - ⁴⁴	j ɯ ⁴⁴	j u - ⁴²	j u ⁴²	j ɯ - ⁴⁴	j ɯ ⁴⁴	j ɯ - ⁴⁴	j ɯ ⁴⁴	j i - ⁵⁵	j i ⁵⁵	j ɯ - ⁴⁴	j ɯ ⁴⁴	j ɯ - ⁴⁴	j ɯ ⁴⁴	j i - ⁴⁴	j i ⁴⁴	j i - ⁴⁴	j i ⁴⁴	ɣ ɯ - ³³	ɣ ɯ ³³	j u - ⁴²	j u ⁴²	j o w ⁴⁴	j o w ⁴⁴	j ɯ - ⁴⁴	j ɯ ⁴⁴	j ɯ - ⁴⁴	j ɯ ⁴⁴
to_fall_down_to_drop			t w a - ⁴² - - -	t w a ⁴²	d w a - ²¹ - - -	d w a ²¹	t - o - ⁴⁴ p a ⁴⁴	t o ⁴⁴ p a ⁴⁴	ʨ - ɛ - ²⁴ - - -	ʨ ɛ ²⁴	t - o w ⁴⁴ - - -	t o w ⁴⁴	t w ɛ - ⁴⁴ f ɛ̃ ³³	t w ɛ ⁴⁴ f ɛ̃ ³³	t w a - ⁴² - - -	t w a ⁴²	t w ɑ - ⁴² - - -	t w ɑ ⁴²	t w ɛ - ⁴⁴ f ɛ̃ ³³	t w ɛ ⁴⁴ f ɛ̃ ³³	t - u - ⁵⁵ x a ⁴⁴	t u ⁵⁵ x a ⁴⁴			t - o - ⁴⁴ x ɯ ⁵⁵	t o ⁴⁴ x ɯ ⁵⁵					t - o - ⁴⁴ f ɛ ⁴⁴	t o ⁴⁴ f ɛ ⁴⁴	t w a - ⁴² - - -	t w a ⁴²
